City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,port-saint-louis-du-rhone,43.3833,4.8,10.13,87,0,1.03,FR,1702234560
114,qaqortoq,60.7167,-46.0333,-6.11,75,100,1.23,GL,1702234504
115,nogliki,51.8333,143.1667,-19.81,86,100,5.81,RU,1702234299
116,otjimbingwe,-22.35,16.1333,23.92,30,0,5.72,NA,1702234561
117,quilpue,-33.045,-71.4494,31.1,67,100,7.72,CL,1702234562
118,pakse,15.1167,105.7833,23.44,79,14,0.84,LA,1702234562
119,tura,25.5198,90.2201,14.08,52,0,1.52,IN,1702234445
120,st. john's,47.5649,-52.7093,2.21,82,100,2.24,CA,1702234353
121,olonkinbyen,70.9221,-8.7187,-5.82,53,22,1.41,SJ,1702234446
122,dayton,39.7589,-84.1916,3.55,81,100,5.66,US,1702233915
123,bilibino,68.0546,166.4372,-26.44,99,34,1.83,RU,1702234460
124,lomo de arico,28.1667,-16.4833,22.28,70,0,2.06,ES,1702234565
125,antsiranana,-12.2787,49.2917,26.18,83,77,6.38,MG,1702234565
126,quixada,-4.9714,-39.0153,32.24,41,92,3.09,BR,1702234497
127,plettenberg bay,-34.0527,23.3716,16.24,86,1,3.2,ZA,1702234566
128,hobyo,5.3505,48.5268,26.87,79,10,7.34,SO,1702234566
129,lihue,21.9789,-159.3672,24.14,83,20,4.63,US,1702234368
130,mukalla,14.5425,49.1242,23.76,68,0,0.72,YE,1702234395
131,lycksele,64.5954,18.6735,-10.07,85,75,2.06,SE,1702234567
132,lorengau,-2.0226,147.2712,27.47,84,98,5.5,PG,1702234568
133,bayanaul,50.7889,75.6956,-23.26,90,17,1.54,KZ,1702234568
134,novodvinsk,64.4165,40.8122,-16.14,90,100,5.15,RU,1702234569
135,nuuk,64.1835,-51.7216,-2.66,80,40,2.06,GL,1702234440
136,kostomuksha,64.571,30.5767,-12.2,94,100,4.02,RU,1702234569
137,sabana grande de boya,18.945,-69.7933,28.22,71,65,4.5,DO,1702234570
138,constantia,44.1833,28.65,0.38,81,76,3.94,RO,1702234465
139,reggane,26.7158,0.1714,17.81,34,4,4.48,DZ,1702234571
140,enewetak,11.3474,162.3373,27.63,72,100,7.31,MH,1702234474
